Regulator	Target	MI	pvalue
FOSL2	TP53I13	0.24783847231778453	0.01855443637692744
CEBPB	EIF4E	0.2481437893181164	0.004539787527535477
FOSL2	EVC	0.258014981058895	0.004539787527535477
CEBPD	CECR2	0.2651909919683812	2.4040999261343288E-4
CEBPD	FLJ36031	0.28701611571621466	4.5227155354155E-10
CEBPB	BATF	0.37647927799018555	0.0
BHLHE40	PIM1	0.32354962785565466	0.0
BHLHE40	NOG	0.2548443819723963	2.4040999261343288E-4
FOSL2	S100A10	0.31581856369820316	1.4814949267361044E-8
CEBPD	RPS6KL1	0.24379805364530244	0.01855443637692744
STAT3	NME1	0.2660320383476498	4.5227155354155E-10
FOSL2	OR2A7	0.24727710022711155	0.01855443637692744
FOSL2	PDE1B	0.24302993580605037	0.01855443637692744
CEBPB	STOM	0.28739998839165193	0.0
CEBPD	GCKR	0.2497116457806756	2.4040999261343288E-4
BHLHE40	TNFSF14	0.31999852518543176	0.0
FOSL2	PDE6D	0.2587383768825632	0.0
RUNX1	SIX5	0.2455611751263861	2.204701587960045E-6
STAT3	ORC6L	0.24637522564411393	8.112773786095318E-8
CEBPB	MYEF2	0.27573948722562863	0.0
FOSL2	PRTFDC1	0.31629009315721734	8.112773786095318E-8
RUNX1	FBN1	0.2501371732797705	1.4814949267361044E-8
FOSL2	DCI	0.2643181810513554	4.300246825295062E-7
FOSL2	DBT	0.26488151748182137	0.0010657119820622896
RUNX1	IL2RA	0.2468176644574282	0.0
CEBPD	MYADM	0.26386750994537406	2.4040999261343288E-4
CEBPB	TSPAN7	0.2580700054569535	2.4040999261343288E-4
CEBPB	TSPAN4	0.25041701343923156	0.0
BHLHE40	OAF	0.26736035789912993	0.0010657119820622896
CEBPB	CRMP1	0.26992041352448876	0.0
CEBPB	FAM20C	0.33603049123991524	0.004539787527535477
CEBPB	FAM20A	0.2577496100999507	2.204701587960045E-6
STAT3	FAM20C	0.3778573860567004	1.4814949267361044E-8
STAT3	SEC61A1	0.24625288841013612	0.0010657119820622896
STAT3	SEC61A2	0.2611359446909719	0.0
RUNX1	SHC1	0.34757522317145334	0.0
BHLHE40	SWAP70	0.24574409703724667	2.204701587960045E-6
CEBPD	KCNB1	0.28950291562184166	2.204701587960045E-6
CEBPB	FAM26F	0.2453700783692148	2.6280644327414393E-9
RUNX1	TIMP1	0.34951989987820625	0.0
STAT3	AFF1	0.25939321592490505	0.004539787527535477
FOSL2	DSE	0.28180174166380034	1.092015777803823E-5
CEBPB	XBP1	0.2467025819244809	7.334133300673784E-11
RUNX1	PSAT1	0.2875484809876982	0.0
RUNX1	RAB34	0.2659343203251425	0.0
RUNX1	RAB3A	0.2789243710278566	8.112773786095318E-8
RUNX1	CLPTM1L	0.2521277506665427	0.004539787527535477
CEBPD	CEBPB	0.566588191754295	0.0
RUNX1	RAB13	0.2538292455760619	1.2223555501122974E-11
CEBPB	RASAL3	0.29263345078292796	0.0
BHLHE40	PLA2G5	0.25919935969779806	4.5227155354155E-10
STAT3	MRPS7	0.25049902422392323	0.0010657119820622896
RUNX1	TBC1D5	0.25696975888316514	0.0010657119820622896
CEBPD	RUNDC3A	0.24956225392434425	0.01855443637692744
STAT3	NEDD9	0.2669669317839071	2.204701587960045E-6
CEBPD	KCNH8	0.2576057161212457	1.092015777803823E-5
RUNX1	P4HA3	0.2603245203268873	2.6280644327414393E-9
STAT3	ERI3	0.2749845531352613	0.0
RUNX1	RAB6B	0.25390709834044795	0.0
CEBPB	PBRM1	0.2531450248968209	0.0
RUNX1	PRKACB	0.24635772526992591	0.0
CEBPD	KCNT1	0.2560227682105974	0.01855443637692744
RUNX1	PRKACA	0.2443655970728988	4.5227155354155E-10
BHLHE40	DCTN5	0.238888314376832	0.0
STAT3	MRPL9	0.26575770861404624	2.204701587960045E-6
BHLHE40	DCTN2	0.25285433211277825	0.0010657119820622896
CEBPB	BCAN	0.25950535249276785	0.0
FOSL2	CIAPIN1	0.2566194121436442	0.0010657119820622896
RUNX1	ALDH16A1	0.27697904069385404	1.2223555501122974E-11
RUNX1	ERRFI1	0.2919587326315869	0.0
BHLHE40	PLEC	0.2530356216173177	0.0
BHLHE40	APOB48R	0.2756055511830617	5.2193469646244495E-5
CEBPB	VEZF1	0.24654118153829063	1.092015777803823E-5
RUNX1	UNC45A	0.2685759772851689	5.2193469646244495E-5
CEBPB	SQLE	0.2474119486046887	2.6280644327414393E-9
FOSL2	GNS	0.2820166008147385	0.0
STAT3	FBLN7	0.25872303795878515	1.092015777803823E-5
RUNX1	IL1R1	0.28239672034412255	0.004539787527535477
CEBPB	LOC400027	0.25638014195385567	5.2193469646244495E-5
BHLHE40	SCNN1B	0.2831005022991762	0.0
FOSL2	MGAT4B	0.2864092268622794	5.2193469646244495E-5
CEBPD	BTRC	0.26332515591718675	4.5227155354155E-10
CEBPB	FMNL1	0.3413959161342455	0.0
RUNX1	IL21R	0.24708106647331554	2.4040999261343288E-4
CEBPD	THBD	0.32470886996525017	0.01855443637692744
CEBPB	FAM57B	0.2500787658478657	1.2223555501122974E-11
CEBPB	VAMP8	0.36635578984078676	0.0
CEBPB	VAMP5	0.2887462491068946	0.0
STAT3	ALG1L	0.2897462726679094	0.004539787527535477
RUNX1	LOC219347	0.24311859663631075	0.01855443637692744
FOSL2	ZFP36	0.28937297190721845	0.0
CEBPB	NCAPH	0.2672276391308671	2.4040999261343288E-4
STAT3	TSC22D1	0.24621779276635655	0.01855443637692744
CEBPB	SEPHS1	0.268978978113642	5.2193469646244495E-5
STAT3	UQCR11	0.26380669822976555	0.0
CEBPB	PTGS1	0.27454184221159267	0.0
CEBPB	PTGS2	0.3314795013096813	1.092015777803823E-5
CEBPB	HAVCR2	0.29607513735775526	0.0
BHLHE40	GAL3ST1	0.279344279230033	0.0
FOSL2	RNF6	0.2537618964819499	1.092015777803823E-5
CEBPB	ZMYM2	0.247576006472075	5.2193469646244495E-5
CEBPB	C2orf62	0.2524688932984312	1.092015777803823E-5
CEBPB	C2orf39	0.24364026907828015	0.01855443637692744
CEBPB	PTGES	0.31033099612880405	0.0
CEBPD	BTG1	0.27802327141461686	0.01855443637692744
CEBPD	BTG2	0.2693489083986358	5.2193469646244495E-5
CEBPD	GAS6	0.3393551789864829	1.092015777803823E-5
BHLHE40	CELSR1	0.2742078635749239	0.0
RUNX1	KIAA0427	0.25209880297611276	2.204701587960045E-6
CEBPD	TWSG1	0.2572726217638416	5.2193469646244495E-5
BHLHE40	NUP107	0.23784385520326604	0.0010657119820622896
CEBPB	MYH10	0.2519328626712307	1.092015777803823E-5
CEBPD	GAPT	0.27447324772800985	0.01855443637692744
CEBPB	SNORD116-4	0.23032623996944987	0.004539787527535477
FOSL2	LOC93622	0.24725379068458883	8.112773786095318E-8
FOSL2	LIMS1	0.2610762008783715	0.0
CEBPB	NCAM1	0.29117333045330773	0.0
BHLHE40	CYP11A1	0.2712889796963768	0.0
CEBPB	BEND3	0.2873843311394541	0.0
CEBPB	SRGN	0.3747786591617446	0.0
RUNX1	DUSP19	0.2500491748257328	5.2193469646244495E-5
RUNX1	FEZ1	0.2857288917967459	0.0
CEBPD	GALM	0.2562747497694372	0.01855443637692744
RUNX1	LOC100216001	0.22915735396506645	0.01855443637692744
CEBPB	KCTD5	0.2678157530536445	0.0
BHLHE40	C14orf43	0.27200762701500625	8.112773786095318E-8
STAT3	UQCRHL	0.2630076313211055	0.0
BHLHE40	AGPAT2	0.27235035853014955	0.0010657119820622896
BHLHE40	PKM2	0.3039722858217413	0.0
CEBPD	DRAM1	0.33944969777543016	0.0
CEBPB	ALDH3B1	0.3514408276778452	0.0
CEBPB	MGST1	0.2631027991759117	0.0
CEBPB	MGST2	0.28749413620753783	0.004539787527535477
CEBPB	MGST3	0.2371423158985826	0.0010657119820622896
RUNX1	DUSP28	0.28390523024879827	0.0
RUNX1	DUSP26	0.28269811915841264	0.004539787527535477
STAT3	SCAMP4	0.2468145417331822	0.004539787527535477
FOSL2	EHD2	0.33695060148148115	0.0
RUNX1	IL17D	0.2657735321645875	0.0
STAT3	IMMP1L	0.2778633904912967	0.01855443637692744
BHLHE40	PKD2	0.2663986476705274	0.0
BHLHE40	NARS2	0.30555946249836935	0.0
RUNX1	TRIB1	0.2871015649773896	4.5227155354155E-10
CEBPD	FBXO32	0.34217957604131427	0.0
CEBPB	BACH2	0.23315278075969623	4.5227155354155E-10
CEBPB	FAM40A	0.27738721553203455	1.092015777803823E-5
CEBPB	TTC39A	0.2679266877332032	0.0
FOSL2	FN1	0.32190576514902847	0.0
STAT3	NISCH	0.24903510399785495	2.204701587960045E-6
CEBPB	DIP2B	0.2533721091970296	0.0
CEBPB	ERCC3	0.25200632519917193	4.300246825295062E-7
CEBPB	ERCC5	0.2567998629176403	1.092015777803823E-5
RUNX1	STEAP4	0.2398415826533464	1.092015777803823E-5
RUNX1	ITIH2	0.2534302260602686	0.004539787527535477
BHLHE40	CDSN	0.2562465043465628	2.204701587960045E-6
FOSL2	FOS	0.2845241335408501	1.4814949267361044E-8
STAT3	FOSL2	0.4073458264476777	0.0
CEBPB	ANPEP	0.28465640572025963	0.0
CEBPB	FAM48A	0.2599703442883954	0.0
RUNX1	TRIM2	0.24939307762006735	0.0
RUNX1	LEPRE1	0.2823117505627502	0.0
BHLHE40	GPX8	0.2683379111379481	0.0
STAT3	ADAR	0.25521483565732045	2.4040999261343288E-4
RUNX1	RAD21	0.2769987407053494	1.092015777803823E-5
CEBPB	PHLPP1	0.27809973430607166	0.0
BHLHE40	CDH7	0.26163808810117456	0.01855443637692744
BHLHE40	METRNL	0.34277190592113677	0.0
CEBPB	S100Z	0.24123168082047314	8.112773786095318E-8
CEBPD	GBP2	0.3312418703831904	0.0
BHLHE40	CDK4	0.2890468847217394	0.0
BHLHE40	CDK1	0.2660038426804785	2.204701587960045E-6
CEBPB	ALDH4A1	0.2641679829268482	0.0010657119820622896
FOSL2	NDRG1	0.3219619154561759	8.112773786095318E-8
BHLHE40	GPR3	0.2808077123125144	0.01855443637692744
RUNX1	IL1RAP	0.27057181455609924	0.0
FOSL2	GGN	0.2974276301806803	5.2193469646244495E-5
BHLHE40	DYRK3	0.29365156261781383	0.0
CEBPB	BACE2	0.30835998856165536	0.0
RUNX1	PAPPA	0.2590245634550709	2.4040999261343288E-4
FOSL2	GEM	0.3020333244447863	7.334133300673784E-11
CEBPB	CUEDC1	0.2619219096082371	8.112773786095318E-8
CEBPB	ARHGAP27	0.2724354436708755	1.092015777803823E-5
FOSL2	IL8	0.32343621332827777	4.300246825295062E-7
FOSL2	IL6	0.29528279792977236	0.0
FOSL2	SLC16A10	0.2540439125377312	0.0
BHLHE40	HIST3H2A	0.2504314809952981	1.2223555501122974E-11
CEBPB	ARHGAP15	0.25527715915153726	4.5227155354155E-10
STAT3	RNF213	0.2746769868932535	0.0
RUNX1	C6orf136	0.24453614746330252	0.0
RUNX1	ITPR3	0.30939513457782924	0.0
FOSL2	THAP10	0.26232184508685225	0.0
FOSL2	THAP11	0.25803038723005584	2.4040999261343288E-4
CEBPB	ARHGAP31	0.228549377921519	0.01855443637692744
CEBPB	ARHGAP32	0.25607229899223116	1.092015777803823E-5
CEBPB	ARHGAP30	0.29285728092726593	0.0
FOSL2	EFHA1	0.245438951304112	4.5227155354155E-10
CEBPB	RAB27A	0.2846268814765951	0.0
STAT3	CKS1B	0.2621537160404382	1.2223555501122974E-11
BHLHE40	TREM1	0.300328913504661	0.0
CEBPD	SLC4A2	0.2439361716924076	0.01855443637692744
CEBPB	TBXAS1	0.34481615408967453	0.0
CEBPD	MGST2	0.2877936911692533	0.01855443637692744
RUNX1	ITPKC	0.30714519880805846	1.092015777803823E-5
FOSL2	SPSB1	0.29727519770036076	0.0
BHLHE40	C4orf46	0.23270507057219636	8.112773786095318E-8
BHLHE40	C4orf47	0.25209808378263865	4.5227155354155E-10
FOSL2	IQGAP1	0.3346977473737986	0.0010657119820622896
FOSL2	SLC2A3	0.3692342095636866	0.0
STAT3	FAM118B	0.26304231103923814	8.112773786095318E-8
FOSL2	RPF1	0.2473159105740671	0.004539787527535477
STAT3	ATXN1	0.33090745742304745	0.0
FOSL2	TGFBR2	0.26870606779036943	0.0010657119820622896
FOSL2	C5AR1	0.29932284710312346	0.0
RUNX1	MESDC2	0.25017400415882296	0.0
CEBPB	FRS2	0.23896863096271273	0.01855443637692744
CEBPD	GGT5	0.2611256052813982	0.0
STAT3	FAM119A	0.2636004649251057	0.004539787527535477
CEBPB	CSF2RA	0.2673491265920545	0.01855443637692744
CEBPB	CSF2RB	0.26850666637208076	0.0
STAT3	ZCCHC17	0.26262649343867794	0.0
RUNX1	CHPF2	0.2675943161650618	0.0
STAT3	VPS28	0.25151094943320185	1.092015777803823E-5
FOSL2	HK1	0.27046672095560337	0.0
FOSL2	HK2	0.2926484545609371	0.0
FOSL2	HK3	0.3567543328170924	0.0
RUNX1	MAP2K3	0.3128731780436392	0.0
BHLHE40	ECSIT	0.2614868996317016	1.092015777803823E-5
RUNX1	FNDC3B	0.37606021247846566	0.0
RUNX1	HGSNAT	0.27086206716669764	2.4040999261343288E-4
BHLHE40	GSG2	0.2658220544019765	0.004539787527535477
STAT3	CTNNA1	0.35848058150116074	0.0
STAT3	FAM120A	0.2812502261135732	0.0
CEBPD	TAGLN2	0.3277694975765707	0.0
BHLHE40	TRIM47	0.25341259088145296	1.092015777803823E-5
STAT3	RNF122	0.24898175522297153	0.01855443637692744
CEBPB	C2orf18	0.25911228191608365	8.112773786095318E-8
BHLHE40	FGFRL1	0.2878911112150127	0.0
STAT3	CCDC28B	0.25400759492742714	8.112773786095318E-8
STAT3	RNF19B	0.29667285652243	2.4040999261343288E-4
BHLHE40	GPM6A	0.24783554077989725	4.300246825295062E-7
FOSL2	C1orf61	0.24111060401327744	0.0010657119820622896
RUNX1	PAIP2	0.2632916704162412	4.300246825295062E-7
FOSL2	C1orf56	0.27658850159262716	0.004539787527535477
RUNX1	HS6ST1	0.30563414238347403	0.0
STAT3	CTNND1	0.2792947377293825	0.0
STAT3	FAM60A	0.27792821009983726	4.5227155354155E-10
FOSL2	GPR109A	0.2651199106467104	1.2223555501122974E-11
FOSL2	ROD1	0.2560874950085949	5.2193469646244495E-5
BHLHE40	PLS3	0.2522825993096944	2.4040999261343288E-4
RUNX1	DYNLT3	0.2527499745951792	0.01855443637692744
CEBPB	ZKSCAN2	0.23337973173727042	4.300246825295062E-7
BHLHE40	PLP2	0.32800322469929105	0.0
CEBPB	RAPGEF4	0.2521438725140801	8.112773786095318E-8
BHLHE40	PLK3	0.33529359481355503	0.0
RUNX1	SIPA1	0.24872438995577745	5.2193469646244495E-5
STAT3	DIAPH1	0.2522899602897489	4.5227155354155E-10
FOSL2	PLEKHG1	0.32235757235391765	5.2193469646244495E-5
STAT3	LOC100129534	0.23709891695923171	5.2193469646244495E-5
FOSL2	CLASP2	0.3084922447110631	2.6280644327414393E-9
FOSL2	PLEKHM1	0.30999136062371563	0.0
FOSL2	PLEKHM2	0.24071774637175433	2.4040999261343288E-4
STAT3	ORAI2	0.2515507455473117	4.5227155354155E-10
CEBPB	PARP14	0.2557416341856974	2.204701587960045E-6
CEBPB	PARP11	0.2900755995080789	0.01855443637692744
CEBPD	DIRAS3	0.2604465678524222	2.204701587960045E-6
BHLHE40	LIF	0.39320056949690096	0.0
FOSL2	COPS5	0.27480596301426263	0.0
CEBPD	ONECUT2	0.26680317659844843	2.4040999261343288E-4
STAT3	FAM58A	0.2406707602682402	5.2193469646244495E-5
FOSL2	PLEKHO2	0.24989423225403948	1.4814949267361044E-8
CEBPD	SLC2A3	0.25205063743094497	1.092015777803823E-5
FOSL2	MMP19	0.2737075303287418	1.092015777803823E-5
RUNX1	SOX8	0.2736632874217611	0.004539787527535477
FOSL2	MMP14	0.34507461157921393	0.0
CEBPB	BCL3	0.47001666600090225	0.0
CEBPB	CAMSAP1L1	0.2946485821151708	0.0
STAT3	GOLGA2	0.24948468449353103	2.4040999261343288E-4
BHLHE40	LPP	0.2943092162110611	0.0
STAT3	MEGF8	0.2560375994347429	1.4814949267361044E-8
RUNX1	SPOP	0.29126774633823505	0.0
CEBPD	LRRC16B	0.26055353790599217	0.0
FOSL2	ELF4	0.3490131319439733	0.0
FOSL2	ELF3	0.26351944848206565	2.204701587960045E-6
CEBPB	KLRB1	0.25483664173058623	8.112773786095318E-8
CEBPB	NCF1B	0.2906379554175194	0.0
CEBPB	NCF1C	0.29458074808677825	0.0
BHLHE40	PTPN12	0.26211102264890945	4.300246825295062E-7
BHLHE40	LOX	0.3201598579288189	0.0
FOSL2	LBP	0.27238723220455435	5.2193469646244495E-5
BHLHE40	CISH	0.272569221555491	0.01855443637692744
FOSL2	LIF	0.44288873382139954	0.0
BHLHE40	LCN2	0.2535588373641953	0.0
RUNX1	EXOC3L2	0.2590250774680595	7.334133300673784E-11
STAT3	FAM54A	0.2599724316361993	2.6280644327414393E-9
BHLHE40	TMEM217	0.26120689997859126	5.2193469646244495E-5
FOSL2	NFIC	0.26114156520182136	0.0
STAT3	WIBG	0.24646931897512972	0.01855443637692744
CEBPB	NCEH1	0.2284554496353517	2.4040999261343288E-4
BHLHE40	TMEM206	0.22300233723380553	1.092015777803823E-5
FOSL2	LPP	0.2709284807479222	0.0
FOSL2	ELL2	0.2607632124135186	2.4040999261343288E-4
FOSL2	LOX	0.320718667077717	1.4814949267361044E-8
FOSL2	ELK3	0.26291952299662724	1.092015777803823E-5
BHLHE40	POP1	0.26145987005091637	0.01855443637692744
BHLHE40	LTF	0.30016534959193786	0.0
CEBPB	RPLP0P2	0.2727643831160725	0.0
CEBPB	GPATCH8	0.25279955041826874	1.4814949267361044E-8
FOSL2	SYNPO	0.317951460315912	0.0
CEBPB	FPR1	0.3102192553814118	0.0
CEBPB	FPR2	0.30889748164873704	0.0
CEBPB	FPR3	0.26983691121926606	0.0
BHLHE40	MAF	0.3009509272568938	0.004539787527535477
RUNX1	KLHL23	0.24632560030785267	0.0
FOSL2	JUN	0.34531312519637614	0.0
RUNX1	SNX9	0.29873474989927096	8.112773786095318E-8
RUNX1	KLHL32	0.24534512294940458	0.0
CEBPB	HMGCL	0.25105618168999766	2.6280644327414393E-9
CEBPB	HMGCR	0.26220609025983543	0.0
CEBPB	PCDHGC4	0.25585073101961564	0.0
FOSL2	VPS37C	0.2729349319565984	1.4814949267361044E-8
CEBPB	RBM8A	0.2576832072571092	5.2193469646244495E-5
CEBPD	PLCXD2	0.2608285191390363	0.0
FOSL2	RRAD	0.2677516988111868	0.0010657119820622896
BHLHE40	KHDRBS3	0.25506321294501394	0.01855443637692744
RUNX1	MSRB3	0.2522971632004577	1.2223555501122974E-11
BHLHE40	ABHD10	0.261193066268451	0.01855443637692744
BHLHE40	MET	0.28638075403746954	0.0
STAT3	ETV6	0.36659040109216945	0.0
BHLHE40	MSN	0.3638922983266716	0.0
STAT3	ETV2	0.2579009031013276	0.0
CEBPB	SFRS8	0.257869433974196	1.4814949267361044E-8
BHLHE40	CHPF	0.3002428091864863	0.0
BHLHE40	IL1F8	0.2623341777765936	0.0
CEBPD	RARRES1	0.30987536466304383	2.204701587960045E-6
CEBPD	RARRES3	0.2852615666378562	8.112773786095318E-8
STAT3	FKBP9	0.2763871802996887	4.5227155354155E-10
RUNX1	SOLH	0.261572691994382	2.204701587960045E-6
CEBPB	RBM47	0.3503890178912654	0.0
FOSL2	NEFL	0.2599394652595352	1.092015777803823E-5
BHLHE40	TMEM100	0.2797189418475862	0.01855443637692744
CEBPB	HMGB3	0.2420160515680183	0.004539787527535477
CEBPB	MCM10	0.24984008404162253	0.0
FOSL2	SCN8A	0.24419424666454445	0.01855443637692744
FOSL2	FBXO32	0.3178202054171946	0.0
RUNX1	JUNB	0.29783214809617276	0.0010657119820622896
FOSL2	INHBA	0.25353240219979406	5.2193469646244495E-5
STAT3	RETSAT	0.22854146560265767	2.204701587960045E-6
CEBPB	CARD16	0.2614109328638361	0.0
CEBPD	SOCS1	0.2896692038566248	0.0
CEBPD	SOCS3	0.4741697816086019	0.0
FOSL2	WBP1	0.27894239712871804	5.2193469646244495E-5
FOSL2	MVP	0.42951690686195526	0.0
FOSL2	GLCCI1	0.2569535552838372	0.01855443637692744
RUNX1	SCHIP1	0.296569346531501	2.204701587960045E-6
FOSL2	DENND3	0.30057040614182756	0.0
BHLHE40	FAM60A	0.24731752044484348	1.092015777803823E-5
STAT3	C12orf24	0.2442644688560733	8.112773786095318E-8
RUNX1	LTBP3	0.3029573682081088	4.5227155354155E-10
RUNX1	LTBP2	0.3128710615221704	0.0
FOSL2	ATP13A3	0.30677547597747773	0.0
FOSL2	ABL2	0.2720558619755966	1.2223555501122974E-11
RUNX1	AMN1	0.2675252064931747	0.0
RUNX1	SAA1	0.2522865694863288	1.4814949267361044E-8
RUNX1	SAA2	0.2780518907129946	0.004539787527535477
BHLHE40	GGT5	0.2683008480112228	2.4040999261343288E-4
FOSL2	MYC	0.2375767713750735	5.2193469646244495E-5
BHLHE40	TRIP6	0.2848682010049114	2.4040999261343288E-4
STAT3	C1orf128	0.24909606253761502	5.2193469646244495E-5
FOSL2	C6orf47	0.26826645766943125	0.0010657119820622896
CEBPB	RSBN1L	0.26300724817921334	4.300246825295062E-7
BHLHE40	LEPROTL1	0.2625896944814097	0.0
STAT3	C12orf49	0.2690980279661466	0.0
STAT3	C12orf47	0.2617560542732218	0.0
STAT3	C12orf48	0.2650803399116352	1.4814949267361044E-8
STAT3	C12orf41	0.27814747670273937	0.0
BHLHE40	TMPO	0.25591560339996877	0.0010657119820622896
FOSL2	GEMIN8	0.24947649234281055	0.004539787527535477
BHLHE40	CHPF2	0.27002523440255394	2.6280644327414393E-9
BHLHE40	RAD51	0.2696203843032296	0.0010657119820622896
STAT3	C12orf57	0.2348091932163009	0.004539787527535477
CEBPB	CIITA	0.26899699225912665	0.0
RUNX1	CDHR1	0.28870244552982766	0.004539787527535477
BHLHE40	FES	0.2616205084091535	8.112773786095318E-8
CEBPD	MYL12A	0.26785094548207466	0.0
CEBPD	SP140L	0.260967479415839	4.5227155354155E-10
FOSL2	RTN3	0.23381929022205297	0.0010657119820622896
CEBPD	FZD7	0.2924552429438244	2.204701587960045E-6
STAT3	ABHD10	0.2785121645168368	0.0
FOSL2	MIMT1	0.2926659478319825	5.2193469646244495E-5
STAT3	KRT10	0.23794115880441544	1.092015777803823E-5
BHLHE40	CDCP1	0.3375209065521502	0.0
CEBPB	VENTX	0.27632009826980314	0.0
CEBPB	ROBO2	0.2867462388923724	0.0
FOSL2	ST3GAL1	0.2746178612135537	0.0
BHLHE40	FAM57B	0.27925124391619316	1.092015777803823E-5
RUNX1	PRSS12	0.23256489002764774	1.092015777803823E-5
CEBPB	ARPC5	0.26722998306637324	0.0
BHLHE40	BYSL	0.2565081583632415	0.0
CEBPB	ARPC2	0.27087037572704736	0.0
CEBPB	ARPC3	0.2420987409325496	5.2193469646244495E-5
FOSL2	NFE2L1	0.2724618793796915	0.0
BHLHE40	PANX1	0.2736173099411557	0.0010657119820622896
BHLHE40	MAD2L1	0.285621685974459	0.0
FOSL2	KRT75	0.26877722974896806	1.092015777803823E-5
CEBPB	SLA2	0.26788901723460024	1.2223555501122974E-11
BHLHE40	FAM54A	0.2694052806773644	2.204701587960045E-6
FOSL2	SH2D2A	0.26134723362937495	0.004539787527535477
STAT3	CHCHD6	0.24343291984257182	5.2193469646244495E-5
FOSL2	ESYT1	0.2765285831956246	0.0
RUNX1	ICAM1	0.30410244887264876	2.6280644327414393E-9
BHLHE40	PAPPA	0.2720398629334416	0.0
FOSL2	KRT16	0.24385496934869966	1.2223555501122974E-11
FOSL2	INSRR	0.25633586467540187	0.0
CEBPB	TEX264	0.25255275809890293	2.4040999261343288E-4
STAT3	TCTN2	0.2619996953080971	2.4040999261343288E-4
RUNX1	NRP1	0.3847144391617702	0.0
RUNX1	EXT2	0.2505137811444141	0.01855443637692744
STAT3	C1orf212	0.262014245461614	0.0010657119820622896
FOSL2	B4GALT1	0.30415432643577134	0.0
BHLHE40	TLN1	0.2854518259451738	1.092015777803823E-5
STAT3	RPS7	0.25937597890200403	0.0
CEBPB	SLPI	0.3632429753407098	8.112773786095318E-8
CEBPB	CREG1	0.291840640626581	0.0
CEBPB	TAPBP	0.2740314667738264	0.0
RUNX1	CDH11	0.27195831765462014	0.0
RUNX1	CDH20	0.26874342934803686	1.2223555501122974E-11
STAT3	INTS3	0.2586638116617194	0.004539787527535477
BHLHE40	GEM	0.26565206455053325	0.0
STAT3	INTS1	0.2590369328447073	0.01855443637692744
BHLHE40	ITPKB	0.2801341554488529	5.2193469646244495E-5
BHLHE40	RAB11FIP5	0.2619338937238362	0.004539787527535477
RUNX1	CHSY1	0.4769822812199913	0.0
RUNX1	CHSY3	0.2750064841620442	0.0
STAT3	RPL8	0.24975607258732085	0.01855443637692744
RUNX1	DUSP4	0.2694584351505637	0.0
RUNX1	DUSP5	0.27762227700586445	0.0
RUNX1	DUSP6	0.2585992157045443	0.0
RUNX1	CHST2	0.3580408620525033	0.0
FOSL2	EMR1	0.27499705588497564	0.004539787527535477
FOSL2	EMR2	0.31983370888183305	0.0
RUNX1	CHST9	0.2911050879401136	2.4040999261343288E-4
RUNX1	GPSM2	0.28289038427575386	0.0
FOSL2	EMP1	0.27376902158024036	4.300246825295062E-7
CEBPB	SMC2	0.2675429737681499	4.5227155354155E-10
RUNX1	TRPM4	0.26962185599443533	0.0
FOSL2	MSN	0.41536081546583764	0.0
RUNX1	SEPN1	0.28178144845501674	0.0
